"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"serra museum","museum","1","""Juniper Serra Museum, Presidio Drive, Old Town, San Diego, San Diego County, California, 92103, United States of America""","92103","-117.1939236","32.7592166","10","""anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,san jose_and_temecula.json"""
"seventh street","unclassified","1","""Seventh Street, Burbank, Los Angeles County, California, 91501, United States of America""","91501","-118.3119269","34.1935002","2","""riverside_and_santa monica.json,san bernardino_and_santa monica.json"""
"seville","census","1","""Seville, Avenue 384, Tulare County, California, United States of America""","","-119.219125417433","36.48737805","1","santa ana_and_santa cruz.json"
"seville cathedral","residential","1","""Via Seville, Cathedral City, Riverside County, California, 92234, United States of America""","92234","-116.4554531","33.8100421","1","santa ana_and_santa cruz.json"
"seward","hamlet","1","""Fort Seward, Humboldt County, California, United States of America""","","-123.6433636","40.222922","2","""monterey_and_newport beach.json,newport beach_and_oakland.json"""
"seymour marine discovery center","museum","1","""Seymour Marine Discovery Center, 108, Seymour Plaza, Westside, Santa Cruz, Santa Cruz County, California, 95060, United States of America""","95060","-122.064858862553","36.94914325","1","san jose_and_santa cruz.json"
"sfgh","parking","1","""SFGH Parking Garage, San Bruno Avenue, Mission District, SF, California, 94110, United States of America""","94110","-122.404905959297","37.75374655","1","berkeley_and_san francisco.json"
"sfmoma","museum","3","""SFMOMA, 151, 3rd Street, South of Market, SF, California, 94103, United States of America""","94103","-122.400921724922","37.78583605","6","""anaheim_and_santa cruz.json,carlsbad_and_oakland.json,oakland_and_san diego.json,oakland_and_santa monica.json,sacramento_and_santa monica.json,sacramento_and_san diego.json"""
"sfo airport","aerodrome","2","""San Francisco Airport, North Access Road, Lomita Park, San Mateo County, California, 94128, United States of America""","94128","-122.384071507814","37.622452","4","""long beach_and_oakland.json,napa_and_newport beach.json,oakland_and_santa ana.json,oakland_and_santa monica.json"""
"shadow brook inn","track","1","""Shadow Mountain Road, Deer Haven, San Bernardino County, California, 92397, United States of America""","92397","-117.6214951","34.4098374","1","fremont_and_los angeles.json"
